delivery_period,n,mae,rmse,wape,spike_precision,spike_recall,spike_events,spike_predictions,zone,model,pricefm_forecasts,weather,evaluation_end,pinball_p10,pinball_p50,pinball_p90,coverage_80,interval_width
weekday_peak,264,41.382468701354945,57.48432628717004,0.46741588830539876,0.717948717948718,0.5283018867924528,53,39,DE_LU,Quantile LightGBM,False,False,2025-09-30,8.215325639594859,20.691234350677473,14.305668878953629,0.36742424242424243,62.585902161502375
weekend,192,17.935647600328497,23.732534930159357,0.2666603690373766,0.5454545454545454,0.5,12,11,DE_LU,Quantile LightGBM,False,False,2025-09-30,4.578544024893007,8.967823800164249,4.856215103736832,0.5677083333333334,42.47895221409796
overall,720,23.35068676020762,36.8131202067663,0.27609410533922635,0.8108108108108109,0.5357142857142857,112,74,DE_LU,Quantile LightGBM,False,True,2025-09-30,5.358934835083901,11.67534338010381,7.267612995987108,0.5444444444444444,45.3649489371937
weekday_offpeak,264,18.98481917432544,29.178275184118707,0.20368179230589692,0.7391304347826086,0.3617021276595745,47,23,DE_LU,Quantile LightGBM,False,True,2025-09-30,4.207750536432603,9.49240958716272,5.550406802051958,0.5492424242424242,37.29405389961698
weekday_peak,264,31.794659317727522,48.84582230358822,0.3591213717966648,0.9411764705882353,0.6037735849056604,53,34,DE_LU,Quantile LightGBM,False,True,2025-09-30,6.6677194788518515,15.897329658863761,11.432855715097103,0.4772727272727273,54.95107096519872
weekend,192,17.74329242420575,25.11480511860025,0.26380050563048174,0.6470588235294118,0.9166666666666666,12,17,DE_LU,Quantile LightGBM,False,True,2025-09-30,5.142234360548506,8.871646212102876,3.901562773871699,0.6302083333333334,43.28151182535479
overall,720,12.806367879166206,23.61050409582321,0.1514200725037674,0.8888888888888888,0.7142857142857143,112,90,DE_LU,Quantile LightGBM,True,False,2025-09-30,2.723475970927591,6.403183939583103,3.789512553991551,0.6666666666666666,33.38145341013674
weekday_offpeak,264,11.367416967356656,16.947451202393573,0.12195722490372016,0.8571428571428571,0.6382978723404256,47,35,DE_LU,Quantile LightGBM,True,False,2025-09-30,2.5666699716019825,5.683708483678328,2.96899038209762,0.6174242424242424,32.49656117363064
weekday_peak,264,16.39509847774813,32.986250346571296,0.1851829955852832,0.9130434782608695,0.7924528301886793,53,46,DE_LU,Quantile LightGBM,True,False,2025-09-30,2.8967683409223923,8.197549238874066,5.82384050410989,0.7234848484848485,39.83871285270824
weekend,192,9.85042080985419,14.121261247408459,0.14645230029391654,0.8888888888888888,0.6666666666666666,12,9,DE_LU,Quantile LightGBM,True,False,2025-09-30,2.70080721125745,4.925210404927095,2.1205296089329915,0.65625,25.71944850179683
overall,720,12.862867436253879,24.294348698505765,0.15208811258440288,0.9176470588235294,0.6964285714285714,112,85,DE_LU,Quantile LightGBM,True,True,2025-09-30,2.733052107611678,6.431433718126939,3.84603625919286,0.6611111111111111,32.50010983023588
weekday_offpeak,264,11.515466989345592,17.651528662279272,0.12354560420576877,0.8529411764705882,0.6170212765957447,47,34,DE_LU,Quantile LightGBM,True,True,2025-09-30,2.4602987952132427,5.757733494672796,3.050683115795228,0.6325757575757576,31.6332967045144
weekday_peak,264,16.248639137287014,33.77218401386789,0.18352873413422544,0.9523809523809523,0.7547169811320755,53,42,DE_LU,Quantile LightGBM,True,True,2025-09-30,3.0170831698907397,8.124319568643507,5.809334008234196,0.7234848484848485,38.690960956684854
weekend,192,10.060106961832217,14.717997959716008,0.1495698340409257,1.0,0.75,12,9,DE_LU,Quantile LightGBM,True,True,2025-09-30,2.7175452015258177,5.030053480916108,2.2401124264327645,0.6145833333333334,25.179557579235553
overall,720,20.232454861111112,30.639400354018342,0.21646641205348852,,0.0,51,0,DE_LU,Persistence,False,False,2025-12-31,,,,,
weekday_offpeak,264,14.923664772727273,21.961124617922042,0.1857901793593032,,0.0,5,0,DE_LU,Persistence,False,False,2025-12-31,,,,,
weekday_peak,264,32.71686553030303,44.111661038320236,0.30003985303444514,,0.0,46,0,DE_LU,Persistence,False,False,2025-12-31,,,,,
weekend,192,10.3659765625,13.480354442370093,0.1150225065612532,,,0,0,DE_LU,Persistence,False,False,2025-12-31,,,,,
overall,720,26.875496527777777,43.047911284965544,0.2875401104542266,0.275,0.43137254901960786,51,80,DE_LU,Weekly seasonal,False,False,2025-12-31,,,,,
